date,city,trend_score
2022-09-30,Copenhagen,2.378785226676002
2022-10-31,Copenhagen,3.171713635568003
2022-11-30,Copenhagen,2.378785226676002
2022-12-31,Copenhagen,1.5858568177840016
2023-01-31,Copenhagen,2.378785226676002
2023-02-28,Copenhagen,2.378785226676002
2023-03-31,Copenhagen,2.378785226676002
2023-04-30,Copenhagen,2.378785226676002
2023-05-31,Copenhagen,2.378785226676002
2023-06-30,Copenhagen,2.378785226676002
2023-07-31,Copenhagen,2.378785226676002
2023-08-31,Copenhagen,3.171713635568003
2023-09-30,Copenhagen,2.378785226676002
2023-10-31,Copenhagen,3.171713635568003
2023-11-30,Copenhagen,3.964642044460004
2023-12-31,Copenhagen,2.378785226676002
2024-01-31,Copenhagen,2.378785226676002
2024-02-29,Copenhagen,3.171713635568003
2024-03-31,Copenhagen,3.964642044460004
2024-04-30,Copenhagen,2.378785226676002
2024-05-31,Copenhagen,3.171713635568003
2024-06-30,Copenhagen,2.378785226676002
2024-07-31,Copenhagen,2.378785226676002
2024-08-31,Copenhagen,3.171713635568003
2024-09-30,Copenhagen,3.171713635568003
2024-10-31,Copenhagen,2.378785226676002
2024-11-30,Copenhagen,2.378785226676002
2024-12-31,Copenhagen,3.171713635568003
2025-01-31,Copenhagen,2.378785226676002
2025-02-28,Copenhagen,2.378785226676002
2025-03-31,Copenhagen,3.171713635568003
2025-04-30,Copenhagen,2.378785226676002
2025-05-31,Copenhagen,3.171713635568003
2025-06-30,Copenhagen,3.171713635568003
2025-07-31,Copenhagen,3.171713635568003
2025-08-31,Copenhagen,5.550498862244005
2025-09-30,Copenhagen,4.757570453352004
2025-10-31,Copenhagen,3.964642044460004
2025-11-30,Copenhagen,3.964642044460004
2025-12-31,Copenhagen,3.964642044460004
2018-01-31,Dublin,11.10099772448801
2018-02-28,Dublin,11.10099772448801
2018-03-31,Dublin,11.893926133380011
2018-04-30,Dublin,10.30806931559601
2018-05-31,Dublin,11.10099772448801
2018-06-30,Dublin,11.10099772448801
2018-07-31,Dublin,11.10099772448801
2018-08-31,Dublin,11.10099772448801
2018-09-30,Dublin,11.10099772448801
2018-10-31,Dublin,10.30806931559601
2018-11-30,Dublin,10.30806931559601
2018-12-31,Dublin,8.72221249781201
2019-01-31,Dublin,10.30806931559601
2019-02-28,Dublin,10.30806931559601
2019-03-31,Dublin,11.10099772448801
2019-04-30,Dublin,10.30806931559601
2019-05-31,Dublin,10.30806931559601
2019-06-30,Dublin,11.10099772448801
2019-07-31,Dublin,11.10099772448801
2019-08-31,Dublin,11.893926133380011
2019-09-30,Dublin,11.10099772448801
2019-10-31,Dublin,11.10099772448801
2019-11-30,Dublin,10.30806931559601
2019-12-31,Dublin,9.515140906704008
2020-01-31,Dublin,10.30806931559601
2020-02-29,Dublin,10.30806931559601
2020-03-31,Dublin,7.136355680028007
2020-04-30,Dublin,4.757570453352004
2020-05-31,Dublin,5.550498862244005
2020-06-30,Dublin,7.136355680028007
2020-07-31,Dublin,7.136355680028007
2020-08-31,Dublin,7.136355680028007
2020-09-30,Dublin,7.136355680028007
2020-10-31,Dublin,6.343427271136006
2020-11-30,Dublin,5.550498862244005
2020-12-31,Dublin,6.343427271136006
2021-01-31,Dublin,5.550498862244005
2021-02-28,Dublin,5.550498862244005
2021-03-31,Dublin,5.550498862244005
2021-04-30,Dublin,5.550498862244005
2021-05-31,Dublin,6.343427271136006
2021-06-30,Dublin,7.136355680028007
2021-07-31,Dublin,7.929284088920008
2021-08-31,Dublin,7.929284088920008
2021-09-30,Dublin,7.929284088920008
2021-10-31,Dublin,8.72221249781201
2021-11-30,Dublin,7.929284088920008
2021-12-31,Dublin,7.136355680028007
2022-01-31,Dublin,7.136355680028007
2022-02-28,Dublin,7.929284088920008
2022-03-31,Dublin,7.929284088920008
2022-04-30,Dublin,8.72221249781201
2022-05-31,Dublin,9.515140906704008
2022-06-30,Dublin,9.515140906704008
2022-07-31,Dublin,8.72221249781201
2022-08-31,Dublin,8.72221249781201
2022-09-30,Dublin,8.72221249781201
2022-10-31,Dublin,7.929284088920008
2022-11-30,Dublin,7.929284088920008
2022-12-31,Dublin,7.136355680028007
2023-01-31,Dublin,7.929284088920008
2023-02-28,Dublin,8.72221249781201
2023-03-31,Dublin,7.929284088920008
2023-04-30,Dublin,7.929284088920008
2023-05-31,Dublin,8.72221249781201
2023-06-30,Dublin,9.515140906704008
2023-07-31,Dublin,10.30806931559601
2023-08-31,Dublin,8.72221249781201
2023-09-30,Dublin,8.72221249781201
2023-10-31,Dublin,7.929284088920008
2023-11-30,Dublin,9.515140906704008
2023-12-31,Dublin,7.929284088920008
2024-01-31,Dublin,7.929284088920008
2024-02-29,Dublin,7.929284088920008
2024-03-31,Dublin,8.72221249781201
2024-04-30,Dublin,7.929284088920008
2024-05-31,Dublin,9.515140906704008
2024-06-30,Dublin,9.515140906704008
2024-07-31,Dublin,8.72221249781201
2024-08-31,Dublin,9.515140906704008
2024-09-30,Dublin,8.72221249781201
2024-10-31,Dublin,7.929284088920008
2024-11-30,Dublin,7.929284088920008
2024-12-31,Dublin,7.929284088920008
2025-01-31,Dublin,8.72221249781201
2025-02-28,Dublin,7.929284088920008
2025-03-31,Dublin,7.929284088920008
2025-04-30,Dublin,7.929284088920008
2025-05-31,Dublin,8.72221249781201
2025-06-30,Dublin,9.515140906704008
2025-07-31,Dublin,9.515140906704008
2025-08-31,Dublin,11.10099772448801
2025-09-30,Dublin,11.10099772448801
2025-10-31,Dublin,10.30806931559601
2025-11-30,Dublin,9.515140906704008
2025-12-31,Dublin,8.72221249781201
2018-01-31,Florence,4.757570453352004
2018-02-28,Florence,4.757570453352004
2018-03-31,Florence,4.757570453352004
2018-04-30,Florence,4.757570453352004
2018-05-31,Florence,5.550498862244005
2018-06-30,Florence,5.550498862244005
2018-07-31,Florence,5.550498862244005
2018-08-31,Florence,5.550498862244005
2018-09-30,Florence,42.81813408016804
2018-10-31,Florence,6.343427271136006
2018-11-30,Florence,4.757570453352004
2018-12-31,Florence,4.757570453352004
2019-01-31,Florence,4.757570453352004
2019-02-28,Florence,4.757570453352004
2019-03-31,Florence,4.757570453352004
2019-04-30,Florence,5.550498862244005
2019-05-31,Florence,5.550498862244005
2019-06-30,Florence,5.550498862244005
2019-07-31,Florence,5.550498862244005
2019-08-31,Florence,5.550498862244005
2019-09-30,Florence,5.550498862244005
2019-10-31,Florence,4.757570453352004
2019-11-30,Florence,4.757570453352004
2019-12-31,Florence,4.757570453352004
2020-01-31,Florence,5.550498862244005
2020-02-29,Florence,4.757570453352004
2020-03-31,Florence,3.964642044460004
2020-04-30,Florence,3.964642044460004
2020-05-31,Florence,4.757570453352004
2020-06-30,Florence,3.964642044460004
2020-07-31,Florence,3.964642044460004
2020-08-31,Florence,3.964642044460004
2020-09-30,Florence,3.964642044460004
2020-10-31,Florence,3.964642044460004
2020-11-30,Florence,3.171713635568003
2020-12-31,Florence,3.171713635568003
2021-01-31,Florence,3.171713635568003
2021-02-28,Florence,3.964642044460004
2021-03-31,Florence,3.964642044460004
2021-04-30,Florence,3.964642044460004
2021-05-31,Florence,3.964642044460004
2021-06-30,Florence,3.964642044460004
2021-07-31,Florence,6.343427271136006
2021-08-31,Florence,4.757570453352004
2021-09-30,Florence,4.757570453352004
2021-10-31,Florence,3.964642044460004
2021-11-30,Florence,3.964642044460004
2021-12-31,Florence,3.964642044460004
2022-01-31,Florence,3.964642044460004
2022-02-28,Florence,4.757570453352004
2022-03-31,Florence,4.757570453352004
2022-04-30,Florence,4.757570453352004
2022-05-31,Florence,5.550498862244005
2022-06-30,Florence,4.757570453352004
2022-07-31,Florence,5.550498862244005
2022-08-31,Florence,5.550498862244005
2022-09-30,Florence,6.343427271136006
2022-10-31,Florence,4.757570453352004
2022-11-30,Florence,4.757570453352004
2022-12-31,Florence,3.964642044460004
2023-01-31,Florence,4.757570453352004
2023-02-28,Florence,4.757570453352004
2023-03-31,Florence,4.757570453352004
2023-04-30,Florence,4.757570453352004
2023-05-31,Florence,5.550498862244005
2023-06-30,Florence,4.757570453352004
2023-07-31,Florence,6.343427271136006
2023-08-31,Florence,5.550498862244005
2023-09-30,Florence,4.757570453352004
2023-10-31,Florence,4.757570453352004
2023-11-30,Florence,3.964642044460004
2023-12-31,Florence,3.964642044460004
2024-01-31,Florence,3.964642044460004
2024-02-29,Florence,4.757570453352004
2024-03-31,Florence,5.550498862244005
2024-04-30,Florence,5.550498862244005
2024-05-31,Florence,4.757570453352004
2024-06-30,Florence,4.757570453352004
2024-07-31,Florence,4.757570453352004
2024-08-31,Florence,4.757570453352004
2024-09-30,Florence,4.757570453352004
2024-10-31,Florence,4.757570453352004
2024-11-30,Florence,3.964642044460004
2024-12-31,Florence,3.964642044460004
2025-01-31,Florence,4.757570453352004
2025-02-28,Florence,4.757570453352004
2025-03-31,Florence,4.757570453352004
2025-04-30,Florence,4.757570453352004
2025-05-31,Florence,5.550498862244005
2025-06-30,Florence,4.757570453352004
2025-07-31,Florence,5.550498862244005
2025-08-31,Florence,6.343427271136006
2025-09-30,Florence,6.343427271136006
2025-10-31,Florence,5.550498862244005
2025-11-30,Florence,5.550498862244005
2025-12-31,Florence,4.757570453352004
2018-01-31,Istanbul,14.213994352055225
2018-02-28,Istanbul,14.213994352055225
2018-03-31,Istanbul,15.635393787260748
2018-04-30,Istanbul,14.213994352055225
2018-05-31,Istanbul,14.213994352055225
2018-06-30,Istanbul,14.213994352055225
2018-07-31,Istanbul,14.213994352055225
2018-08-31,Istanbul,14.213994352055225
2018-09-30,Istanbul,15.635393787260748
2018-10-31,Istanbul,14.213994352055225
2018-11-30,Istanbul,14.213994352055225
2018-12-31,Istanbul,15.635393787260748
2019-01-31,Istanbul,15.635393787260748
2019-02-28,Istanbul,15.635393787260748
2019-03-31,Istanbul,17.056793222466272
2019-04-30,Istanbul,24.163790398493884
2019-05-31,Istanbul,18.478192657671794
2019-06-30,Istanbul,18.478192657671794
2019-07-31,Istanbul,15.635393787260748
2019-08-31,Istanbul,17.056793222466272
2019-09-30,Istanbul,19.899592092877317
2019-10-31,Istanbul,17.056793222466272
2019-11-30,Istanbul,15.635393787260748
2019-12-31,Istanbul,17.056793222466272
2020-01-31,Istanbul,18.478192657671794
2020-02-29,Istanbul,17.056793222466272
2020-03-31,Istanbul,12.792594916849703
2020-04-30,Istanbul,9.949796046438658
2020-05-31,Istanbul,11.37119548164418
2020-06-30,Istanbul,11.37119548164418
2020-07-31,Istanbul,12.792594916849703
2020-08-31,Istanbul,12.792594916849703
2020-09-30,Istanbul,11.37119548164418
2020-10-31,Istanbul,14.213994352055225
2020-11-30,Istanbul,12.792594916849703
2020-12-31,Istanbul,12.792594916849703
2021-01-31,Istanbul,12.792594916849703
2021-02-28,Istanbul,14.213994352055225
2021-03-31,Istanbul,14.213994352055225
2021-04-30,Istanbul,14.213994352055225
2021-05-31,Istanbul,11.37119548164418
2021-06-30,Istanbul,14.213994352055225
2021-07-31,Istanbul,14.213994352055225
2021-08-31,Istanbul,14.213994352055225
2021-09-30,Istanbul,15.635393787260748
2021-10-31,Istanbul,15.635393787260748
2021-11-30,Istanbul,15.635393787260748
2021-12-31,Istanbul,15.635393787260748
2022-01-31,Istanbul,18.478192657671794
2022-02-28,Istanbul,17.056793222466272
2022-03-31,Istanbul,19.899592092877317
2022-04-30,Istanbul,21.32099152808284
2022-05-31,Istanbul,17.056793222466272
2022-06-30,Istanbul,18.478192657671794
2022-07-31,Istanbul,17.056793222466272
2022-08-31,Istanbul,18.478192657671794
2022-09-30,Istanbul,18.478192657671794
2022-10-31,Istanbul,17.056793222466272
2022-11-30,Istanbul,19.899592092877317
2022-12-31,Istanbul,14.213994352055225
2023-01-31,Istanbul,17.056793222466272
2023-02-28,Istanbul,21.32099152808284
2023-03-31,Istanbul,19.899592092877317
2023-04-30,Istanbul,21.32099152808284
2023-05-31,Istanbul,18.478192657671794
2023-06-30,Istanbul,18.478192657671794
2023-07-31,Istanbul,18.478192657671794
2023-08-31,Istanbul,17.056793222466272
2023-09-30,Istanbul,17.056793222466272
2023-10-31,Istanbul,15.635393787260748
2023-11-30,Istanbul,18.478192657671794
2023-12-31,Istanbul,17.056793222466272
2024-01-31,Istanbul,18.478192657671794
2024-02-29,Istanbul,14.213994352055225
2024-03-31,Istanbul,18.478192657671794
2024-04-30,Istanbul,17.056793222466272
2024-05-31,Istanbul,14.213994352055225
2024-06-30,Istanbul,14.213994352055225
2024-07-31,Istanbul,15.635393787260748
2024-08-31,Istanbul,15.635393787260748
2024-09-30,Istanbul,15.635393787260748
2024-10-31,Istanbul,14.213994352055225
2024-11-30,Istanbul,14.213994352055225
2024-12-31,Istanbul,14.213994352055225
2025-01-31,Istanbul,14.213994352055225
2025-02-28,Istanbul,17.056793222466272
2025-03-31,Istanbul,18.478192657671794
2025-04-30,Istanbul,17.056793222466272
2025-05-31,Istanbul,14.213994352055225
2025-06-30,Istanbul,14.213994352055225
2025-07-31,Istanbul,15.635393787260748
2025-08-31,Istanbul,19.899592092877317
2025-09-30,Istanbul,18.478192657671794
2025-10-31,Istanbul,17.056793222466272
2025-11-30,Istanbul,17.056793222466272
2025-12-31,Istanbul,21.32099152808284
2018-01-31,Lisbon,1.5858568177840016
2018-02-28,Lisbon,1.5858568177840016
2018-03-31,Lisbon,2.378785226676002
2018-04-30,Lisbon,2.378785226676002
2018-05-31,Lisbon,2.378785226676002
2018-06-30,Lisbon,2.378785226676002
2018-07-31,Lisbon,2.378785226676002
2018-08-31,Lisbon,2.378785226676002
2018-09-30,Lisbon,2.378785226676002
2018-10-31,Lisbon,1.5858568177840016
2018-11-30,Lisbon,1.5858568177840016
2018-12-31,Lisbon,1.5858568177840016
2019-01-31,Lisbon,1.5858568177840016
2019-02-28,Lisbon,1.5858568177840016
2019-03-31,Lisbon,2.378785226676002
2019-04-30,Lisbon,2.378785226676002
2019-05-31,Lisbon,2.378785226676002
2019-06-30,Lisbon,2.378785226676002
2019-07-31,Lisbon,2.378785226676002
2019-08-31,Lisbon,2.378785226676002
2019-09-30,Lisbon,2.378785226676002
2019-10-31,Lisbon,2.378785226676002
2019-11-30,Lisbon,1.5858568177840016
2019-12-31,Lisbon,1.5858568177840016
2020-01-31,Lisbon,2.378785226676002
2020-02-29,Lisbon,1.5858568177840016
2020-03-31,Lisbon,0.7929284088920008
2020-04-30,Lisbon,0.7929284088920008
2020-05-31,Lisbon,0.7929284088920008
2020-06-30,Lisbon,0.7929284088920008
2020-07-31,Lisbon,0.7929284088920008
2020-08-31,Lisbon,0.7929284088920008
2020-09-30,Lisbon,0.7929284088920008
2020-10-31,Lisbon,0.7929284088920008
2020-11-30,Lisbon,0.7929284088920008
2020-12-31,Lisbon,0.7929284088920008
2021-01-31,Lisbon,0.7929284088920008
2021-02-28,Lisbon,0.7929284088920008
2021-03-31,Lisbon,0.7929284088920008
2021-04-30,Lisbon,0.7929284088920008
2021-05-31,Lisbon,1.5858568177840016
2021-06-30,Lisbon,0.7929284088920008
2021-07-31,Lisbon,0.7929284088920008
2021-08-31,Lisbon,1.5858568177840016
2021-09-30,Lisbon,1.5858568177840016
2021-10-31,Lisbon,1.5858568177840016
2021-11-30,Lisbon,1.5858568177840016
2021-12-31,Lisbon,1.5858568177840016
2022-01-31,Lisbon,1.5858568177840016
2022-02-28,Lisbon,1.5858568177840016
2022-03-31,Lisbon,2.378785226676002
2022-04-30,Lisbon,2.378785226676002
2022-05-31,Lisbon,2.378785226676002
2022-06-30,Lisbon,2.378785226676002
2022-07-31,Lisbon,2.378785226676002
2022-08-31,Lisbon,2.378785226676002
2022-09-30,Lisbon,2.378785226676002
2022-10-31,Lisbon,2.378785226676002
2022-11-30,Lisbon,1.5858568177840016
2022-12-31,Lisbon,1.5858568177840016
2023-01-31,Lisbon,2.378785226676002
2023-02-28,Lisbon,2.378785226676002
2023-03-31,Lisbon,2.378785226676002
2023-04-30,Lisbon,2.378785226676002
2023-05-31,Lisbon,2.378785226676002
2023-06-30,Lisbon,2.378785226676002
2023-07-31,Lisbon,2.378785226676002
2023-08-31,Lisbon,2.378785226676002
2023-09-30,Lisbon,2.378785226676002
2023-10-31,Lisbon,2.378785226676002
2023-11-30,Lisbon,1.5858568177840016
2023-12-31,Lisbon,1.5858568177840016
2024-01-31,Lisbon,2.378785226676002
2024-02-29,Lisbon,2.378785226676002
2024-03-31,Lisbon,2.378785226676002
2024-04-30,Lisbon,2.378785226676002
2024-05-31,Lisbon,3.171713635568003
2024-06-30,Lisbon,2.378785226676002
2024-07-31,Lisbon,2.378785226676002
2024-08-31,Lisbon,2.378785226676002
2024-09-30,Lisbon,2.378785226676002
2024-10-31,Lisbon,2.378785226676002
2024-11-30,Lisbon,2.378785226676002
2024-12-31,Lisbon,2.378785226676002
2025-01-31,Lisbon,2.378785226676002
2025-02-28,Lisbon,2.378785226676002
2025-03-31,Lisbon,2.378785226676002
2025-04-30,Lisbon,2.378785226676002
2025-05-31,Lisbon,2.378785226676002
2025-06-30,Lisbon,2.378785226676002
2025-07-31,Lisbon,3.171713635568003
2025-08-31,Lisbon,4.757570453352004
2025-09-30,Lisbon,4.757570453352004
2025-10-31,Lisbon,3.964642044460004
2025-11-30,Lisbon,3.171713635568003
2025-12-31,Lisbon,3.171713635568003
2018-01-31,London,52.591779102604335
2018-02-28,London,51.17037966739881
2018-03-31,London,54.01317853780986
2018-04-30,London,51.17037966739881
2018-05-31,London,52.591779102604335
2018-06-30,London,49.74898023219329
2018-07-31,London,54.01317853780986
2018-08-31,London,51.17037966739881
2018-09-30,London,49.74898023219329
2018-10-31,London,51.17037966739881
2018-11-30,London,49.74898023219329
2018-12-31,London,46.906181361782245
2019-01-31,London,49.74898023219329
2019-02-28,London,49.74898023219329
2019-03-31,London,49.74898023219329
2019-04-30,London,58.277376843426424
2019-05-31,London,49.74898023219329
2019-06-30,London,56.8559774082209
2019-07-31,London,55.43457797301538
2019-08-31,London,52.591779102604335
2019-09-30,London,51.17037966739881
2019-10-31,London,52.591779102604335
2019-11-30,London,54.01317853780986
2019-12-31,London,49.74898023219329
2020-01-31,London,48.32758079698777
2020-02-29,London,49.74898023219329
2020-03-31,London,39.79918418575463
2020-04-30,London,31.270787574521496
2020-05-31,London,31.270787574521496
2020-06-30,London,34.113586444932544
2020-07-31,London,34.113586444932544
2020-08-31,London,35.534985880138066
2020-09-30,London,34.113586444932544
2020-10-31,London,36.95638531534359
2020-11-30,London,29.849388139315973
2020-12-31,London,34.113586444932544
2021-01-31,London,27.00658926890493
2021-02-28,London,27.00658926890493
2021-03-31,London,28.42798870411045
2021-04-30,London,31.270787574521496
2021-05-31,London,35.534985880138066
2021-06-30,London,35.534985880138066
2021-07-31,London,36.95638531534359
2021-08-31,London,36.95638531534359
2021-09-30,London,39.79918418575463
2021-10-31,London,39.79918418575463
2021-11-30,London,39.79918418575463
2021-12-31,London,35.534985880138066
2022-01-31,London,35.534985880138066
2022-02-28,London,39.79918418575463
2022-03-31,London,38.37778475054911
2022-04-30,London,41.220583620960156
2022-05-31,London,41.220583620960156
2022-06-30,London,41.220583620960156
2022-07-31,London,44.0633824913712
2022-08-31,London,41.220583620960156
2022-09-30,London,44.0633824913712
2022-10-31,London,42.64198305616568
2022-11-30,London,38.37778475054911
2022-12-31,London,39.79918418575463
2023-01-31,London,41.220583620960156
2023-02-28,London,39.79918418575463
2023-03-31,London,39.79918418575463
2023-04-30,London,41.220583620960156
2023-05-31,London,39.79918418575463
2023-06-30,London,41.220583620960156
2023-07-31,London,45.48478192657672
2023-08-31,London,42.64198305616568
2023-09-30,London,41.220583620960156
2023-10-31,London,41.220583620960156
2023-11-30,London,41.220583620960156
2023-12-31,London,41.220583620960156
2024-01-31,London,41.220583620960156
2024-02-29,London,41.220583620960156
2024-03-31,London,42.64198305616568
2024-04-30,London,42.64198305616568
2024-05-31,London,42.64198305616568
2024-06-30,London,44.0633824913712
2024-07-31,London,45.48478192657672
2024-08-31,London,45.48478192657672
2024-09-30,London,42.64198305616568
2024-10-31,London,44.0633824913712
2024-11-30,London,44.0633824913712
2024-12-31,London,41.220583620960156
2025-01-31,London,42.64198305616568
2025-02-28,London,45.48478192657672
2025-03-31,London,44.0633824913712
2025-04-30,London,42.64198305616568
2025-05-31,London,45.48478192657672
2025-06-30,London,46.906181361782245
2025-07-31,London,48.32758079698777
2025-08-31,London,58.277376843426424
2025-09-30,London,59.69877627863195
2025-10-31,London,54.01317853780986
2025-11-30,London,54.01317853780986
2025-12-31,London,49.74898023219329
2018-01-31,Madrid,42.64198305616568
2018-02-28,Madrid,55.43457797301538
2018-03-31,Madrid,46.906181361782245
2018-04-30,Madrid,69.6485723250706
2018-05-31,Madrid,73.91277063068718
2018-06-30,Madrid,34.113586444932544
2018-07-31,Madrid,36.95638531534359
2018-08-31,Madrid,44.0633824913712
2018-09-30,Madrid,39.79918418575463
2018-10-31,Madrid,45.48478192657672
2018-11-30,Madrid,39.79918418575463
2018-12-31,Madrid,35.534985880138066
2019-01-31,Madrid,39.79918418575463
2019-02-28,Madrid,54.01317853780986
2019-03-31,Madrid,51.17037966739881
2019-04-30,Madrid,39.79918418575463
2019-05-31,Madrid,42.64198305616568
2019-06-30,Madrid,36.95638531534359
2019-07-31,Madrid,41.220583620960156
2019-08-31,Madrid,39.79918418575463
2019-09-30,Madrid,46.906181361782245
2019-10-31,Madrid,45.48478192657672
2019-11-30,Madrid,49.74898023219329
2019-12-31,Madrid,52.591779102604335
2020-01-31,Madrid,52.591779102604335
2020-02-29,Madrid,54.01317853780986
2020-03-31,Madrid,41.220583620960156
2020-04-30,Madrid,18.478192657671794
2020-05-31,Madrid,21.32099152808284
2020-06-30,Madrid,38.37778475054911
2020-07-31,Madrid,44.0633824913712
2020-08-31,Madrid,29.849388139315973
2020-09-30,Madrid,32.69218700972702
2020-10-31,Madrid,45.48478192657672
2020-11-30,Madrid,35.534985880138066
2020-12-31,Madrid,44.0633824913712
2021-01-31,Madrid,39.79918418575463
2021-02-28,Madrid,38.37778475054911
2021-03-31,Madrid,39.79918418575463
2021-04-30,Madrid,58.277376843426424
2021-05-31,Madrid,59.69877627863195
2021-06-30,Madrid,28.42798870411045
2021-07-31,Madrid,28.42798870411045
2021-08-31,Madrid,34.113586444932544
2021-09-30,Madrid,42.64198305616568
2021-10-31,Madrid,42.64198305616568
2021-11-30,Madrid,36.95638531534359
2021-12-31,Madrid,38.37778475054911
2022-01-31,Madrid,45.48478192657672
2022-02-28,Madrid,55.43457797301538
2022-03-31,Madrid,55.43457797301538
2022-04-30,Madrid,76.75556950109822
2022-05-31,Madrid,92.39096328835898
2022-06-30,Madrid,32.69218700972702
2022-07-31,Madrid,44.0633824913712
2022-08-31,Madrid,45.48478192657672
2022-09-30,Madrid,49.74898023219329
2022-10-31,Madrid,62.54157514904299
2022-11-30,Madrid,38.37778475054911
2022-12-31,Madrid,32.69218700972702
2023-01-31,Madrid,62.54157514904299
